fecha,sku,categoria,stock_inicial,entradas,salidas,stock_final
2024-03-01,SKU-015,Hogar,184,14,48,150
2024-03-02,SKU-016,Electrónica,73,21,76,18
2024-03-03,SKU-002,Ropa,157,69,4,222
2024-03-04,SKU-013,Hogar,35,33,51,17
2024-03-05,SKU-012,Ropa,38,2,46,-6
2024-03-06,SKU-008,Ropa,177,27,40,164
2024-03-07,SKU-012,Hogar,62,19,14,67
2024-03-08,SKU-014,Hogar,150,15,10,155
2024-03-09,SKU-003,Electrónica,49,71,27,93
2024-03-10,SKU-002,Electrónica,165,29,78,116
2024-03-11,SKU-017,Ropa,55,35,13,77
2024-03-12,SKU-002,Electrónica,140,48,4,184
2024-03-13,SKU-017,Hogar,39,49,86,2
2024-03-14,SKU-002,Hogar,164,56,15,205
2024-03-15,SKU-002,Hogar,43,63,29,77
2024-03-16,SKU-013,Ropa,160,58,78,140
2024-03-17,SKU-007,Electrónica,119,5,42,82
2024-03-18,SKU-009,Electrónica,129,51,25,155
2024-03-19,SKU-009,Electrónica,40,61,75,26
2024-03-20,SKU-014,Electrónica,151,17,22,146
2024-03-21,SKU-011,Electrónica,101,45,43,103
2024-03-22,SKU-020,Electrónica,192,62,84,170
2024-03-23,SKU-019,Electrónica,58,22,55,25
2024-03-24,SKU-001,Ropa,62,9,2,69
2024-03-25,SKU-005,Electrónica,57,5,25,37
2024-03-26,SKU-001,Electrónica,126,76,0,202
2024-03-27,SKU-006,Electrónica,60,61,56,65
2024-03-28,SKU-016,Ropa,131,42,70,103
2024-03-29,SKU-020,Electrónica,47,16,82,-19
2024-03-30,SKU-016,Ropa,152,59,86,125
2024-03-31,SKU-020,Ropa,199,17,62,154
2024-04-01,SKU-013,Ropa,170,68,46,192
2024-04-02,SKU-014,Hogar,185,60,89,156
2024-04-03,SKU-011,Electrónica,55,25,77,3
2024-04-04,SKU-010,Hogar,50,14,12,52
2024-04-05,SKU-017,Electrónica,27,61,62,26
2024-04-06,SKU-007,Ropa,108,53,37,124
2024-04-07,SKU-004,Ropa,163,29,83,109
2024-04-08,SKU-017,Electrónica,158,70,31,197
2024-04-09,SKU-001,Electrónica,167,28,28,167
2024-04-10,SKU-002,Ropa,97,74,59,112
2024-04-11,SKU-019,Electrónica,76,5,83,-2
2024-04-12,SKU-001,Electrónica,166,55,40,181
2024-04-13,SKU-012,Hogar,80,50,89,41
2024-04-14,SKU-019,Ropa,44,53,29,68
2024-04-15,SKU-019,Hogar,180,10,28,162
2024-04-16,SKU-016,Ropa,128,43,52,119
2024-04-17,SKU-016,Hogar,59,59,42,76
2024-04-18,SKU-008,Electrónica,136,30,10,156
2024-04-19,SKU-013,Electrónica,124,59,84,99
2024-04-20,SKU-014,Ropa,146,14,17,143
2024-04-21,SKU-019,Ropa,131,48,0,179
2024-04-22,SKU-015,Ropa,136,56,39,153
2024-04-23,SKU-015,Hogar,36,65,38,63
2024-04-24,SKU-008,Ropa,66,7,65,8
2024-04-25,SKU-013,Electrónica,114,69,48,135
2024-04-26,SKU-012,Ropa,104,15,86,33
2024-04-27,SKU-013,Electrónica,43,52,45,50
2024-04-28,SKU-016,Hogar,163,32,49,146
2024-04-29,SKU-012,Electrónica,192,78,22,248
2024-04-30,SKU-014,Electrónica,103,34,65,72
2024-05-01,SKU-015,Hogar,139,29,85,83
2024-05-02,SKU-019,Electrónica,75,51,66,60
2024-05-03,SKU-005,Hogar,118,53,32,139
2024-05-04,SKU-002,Hogar,175,4,50,129
2024-05-05,SKU-018,Hogar,65,64,70,59
2024-05-06,SKU-018,Electrónica,101,26,35,92
2024-05-07,SKU-017,Hogar,175,5,23,157
2024-05-08,SKU-010,Ropa,97,17,82,32
2024-05-09,SKU-017,Electrónica,196,68,89,175
2024-05-10,SKU-003,Electrónica,114,56,79,91
2024-05-11,SKU-016,Ropa,153,32,27,158
2024-05-12,SKU-018,Ropa,141,72,85,128
2024-05-13,SKU-007,Ropa,133,73,1,205
2024-05-14,SKU-001,Ropa,48,31,9,70
2024-05-15,SKU-007,Hogar,85,73,81,77
2024-05-16,SKU-013,Electrónica,88,48,11,125
2024-05-17,SKU-016,Electrónica,134,32,64,102
2024-05-18,SKU-011,Ropa,181,14,67,128
2024-05-19,SKU-003,Hogar,138,61,61,138
2024-05-20,SKU-009,Hogar,68,32,54,46
2024-05-21,SKU-007,Ropa,119,56,36,139
2024-05-22,SKU-003,Ropa,89,28,84,33
2024-05-23,SKU-001,Ropa,119,43,19,143
2024-05-24,SKU-011,Ropa,91,50,69,72
2024-05-25,SKU-013,Hogar,21,46,84,-17
2024-05-26,SKU-004,Electrónica,149,72,62,159
2024-05-27,SKU-010,Hogar,173,37,68,142
2024-05-28,SKU-008,Electrónica,120,2,41,81
2024-05-29,SKU-017,Electrónica,97,17,80,34
2024-05-30,SKU-011,Electrónica,128,15,16,127
2024-05-31,SKU-005,Hogar,198,67,57,208
2024-06-01,SKU-018,Ropa,175,22,5,192
2024-06-02,SKU-004,Ropa,116,7,22,101
2024-06-03,SKU-006,Hogar,63,55,3,115
2024-06-04,SKU-007,Hogar,39,49,8,80
2024-06-05,SKU-012,Electrónica,118,26,62,82
2024-06-06,SKU-003,Hogar,65,4,41,28
2024-06-07,SKU-008,Electrónica,120,26,74,72
2024-06-08,SKU-020,Hogar,100,60,11,149
2024-06-09,SKU-010,Ropa,132,78,34,176
2024-06-10,SKU-001,Ropa,141,18,49,110
2024-06-11,SKU-017,Ropa,191,36,71,156
2024-06-12,SKU-018,Hogar,28,20,39,9
2024-06-13,SKU-009,Electrónica,194,3,58,139
2024-06-14,SKU-020,Ropa,84,18,5,97
2024-06-15,SKU-016,Electrónica,136,77,73,140
2024-06-16,SKU-017,Ropa,168,51,88,131
2024-06-17,SKU-018,Electrónica,116,49,12,153
2024-06-18,SKU-011,Hogar,127,31,59,99
2024-06-19,SKU-018,Hogar,153,18,78,93
2024-06-20,SKU-004,Electrónica,105,12,15,102
2024-06-21,SKU-008,Hogar,44,71,4,111
2024-06-22,SKU-010,Electrónica,22,45,22,45
2024-06-23,SKU-004,Hogar,128,65,52,141
2024-06-24,SKU-008,Hogar,48,16,66,-2
