fecha,sucursal,venta_neta
2024-01-01,Este,14504.1
2024-01-02,Este,10431.14
2024-01-03,Norte,11678.33
2024-01-04,Norte,7968.22
2024-01-05,Sur,10313.65
2024-01-06,Norte,9151.36
2024-01-07,Norte,8784.97
2024-01-08,Este,14699.47
2024-01-09,Sur,9256.97
2024-01-10,Norte,9830.47
2024-01-11,Norte,11804.87
2024-01-12,Este,13855.22
2024-01-13,Norte,12058.45
2024-01-14,Este,17070.58
2024-01-15,Sur,10835.73
2024-01-16,Este,11569.18
2024-01-17,Este,11606.32
2024-01-18,Sur,14157.11
2024-01-19,Centro,12115.93
2024-01-20,Este,10744.29
2024-01-21,Norte,8915.53
2024-01-22,Este,11537.78
2024-01-23,Sur,14082.96
2024-01-24,Norte,10097.16
2024-01-25,Sur,12163.68
2024-01-26,Este,11541.53
2024-01-27,Sur,12899.74
2024-01-28,Sur,9229.54
2024-01-29,Centro,16162.62
2024-01-30,Este,8185.85
2024-01-31,Este,10195.79
2024-02-01,Este,13063.8
2024-02-02,Este,11652.81
2024-02-03,Norte,12825.97
2024-02-04,Sur,9908.57
2024-02-05,Este,10835.43
2024-02-06,Norte,11026.91
2024-02-07,Este,14452.37
2024-02-08,Sur,12518.94
2024-02-09,Este,12752.68
2024-02-10,Norte,9552.56
2024-02-11,Norte,13131.54
2024-02-12,Sur,11496.28
2024-02-13,Este,14056.12
2024-02-14,Norte,15430.93
2024-02-15,Centro,10325.12
2024-02-16,Este,10106.13
2024-02-17,Centro,9099.1
2024-02-18,Norte,10684.13
2024-02-19,Norte,10159.54
2024-02-20,Sur,11790.91
2024-02-21,Sur,10681.95
2024-02-22,Este,10204.48
2024-02-23,Norte,13342.09
2024-02-24,Norte,8936.66
2024-02-25,Norte,11952.84
2024-02-26,Norte,10106.93
2024-02-27,Centro,12593.61
2024-02-28,Norte,14047.58
2024-02-29,Sur,10333.18
2024-03-01,Este,11970.27
2024-03-02,Este,11393.34
2024-03-03,Este,9241.27
2024-03-04,Centro,11529.73
2024-03-05,Norte,11636.07
2024-03-06,Este,11908.32
2024-03-07,Sur,10563.52
2024-03-08,Centro,11207.22
2024-03-09,Norte,8475.26
2024-03-10,Norte,10212.15
2024-03-11,Norte,12223.12
2024-03-12,Norte,12963.44
2024-03-13,Centro,10070.91
2024-03-14,Sur,11230.37
2024-03-15,Norte,11501.72
2024-03-16,Centro,11443.26
2024-03-17,Centro,12189.7
2024-03-18,Sur,7000.23
2024-03-19,Centro,10891.49
2024-03-20,Centro,11525.87
2024-03-21,Este,8799.27
2024-03-22,Este,14682.77
2024-03-23,Sur,11355.43
2024-03-24,Este,14439.49
2024-03-25,Centro,9260.85
2024-03-26,Centro,9003.94
2024-03-27,Sur,11493.35
2024-03-28,Centro,7306.89
2024-03-29,Sur,11472.92
2024-03-30,Este,11213.88
2024-03-31,Este,13234.46
2024-04-01,Norte,12542.29
2024-04-02,Este,10081.55
2024-04-03,Norte,8585.51
2024-04-04,Norte,14767.07
2024-04-05,Norte,9257.35
2024-04-06,Centro,8699.85
2024-04-07,Norte,8613.32
2024-04-08,Este,13458.07
2024-04-09,Sur,9858.42
2024-04-10,Este,9341.85
2024-04-11,Sur,11302.92
2024-04-12,Este,10544.72
2024-04-13,Sur,9508.19
2024-04-14,Este,12658.78
2024-04-15,Sur,13343.69
2024-04-16,Norte,13167.7
2024-04-17,Sur,12687.22
2024-04-18,Norte,11885.78
2024-04-19,Este,7093.05
2024-04-20,Sur,14672.35
2024-04-21,Sur,11664.38
2024-04-22,Este,12337.94
2024-04-23,Norte,13452.92
2024-04-24,Norte,14153.38
2024-04-25,Centro,11920.48
2024-04-26,Centro,11958.2
2024-04-27,Centro,9681.71
2024-04-28,Sur,11072.8
2024-04-29,Sur,9120.85
2024-04-30,Sur,9416.13
2024-05-01,Este,9034.14
2024-05-02,Centro,10656.75
2024-05-03,Este,13308.01
2024-05-04,Centro,17976.14
2024-05-05,Centro,11416.9
2024-05-06,Sur,8033.49
2024-05-07,Norte,13782.96
2024-05-08,Centro,10338.28
2024-05-09,Norte,9546.66
