fecha,sucursal,venta_neta
2024-01-01,Este,14531.85
2024-01-02,Este,19197.08
2024-01-03,Norte,14863.67
2024-01-04,Sur,13161.58
2024-01-05,Norte,12755.18
2024-01-06,Este,15385.05
2024-01-07,Centro,14440.65
2024-01-08,Centro,14699.84
2024-01-09,Centro,9947.71
2024-01-10,Este,16013.82
2024-01-11,Sur,14536.01
2024-01-12,Norte,10281.75
2024-01-13,Sur,10902.93
2024-01-14,Centro,18242.15
2024-01-15,Norte,12214.41
2024-01-16,Este,14751.75
2024-01-17,Este,17337.49
2024-01-18,Sur,5417.4
2024-01-19,Norte,14122.33
2024-01-20,Centro,11104.47
2024-01-21,Sur,13299.26
2024-01-22,Este,13817.29
2024-01-23,Norte,13094.45
2024-01-24,Norte,14392.06
2024-01-25,Este,11699.77
2024-01-26,Centro,16127.41
2024-01-27,Centro,9728.85
2024-01-28,Este,9071.86
2024-01-29,Este,9791.45
2024-01-30,Centro,16603.84
2024-01-31,Sur,12234.49
2024-02-01,Sur,9082.9
2024-02-02,Norte,11784.89
2024-02-03,Norte,14472.02
2024-02-04,Sur,15024.53
2024-02-05,Norte,12971.47
2024-02-06,Sur,15797.3
2024-02-07,Norte,14569.21
2024-02-08,Sur,13956.98
2024-02-09,Norte,13101.57
2024-02-10,Norte,11585.98
2024-02-11,Sur,13275.85
2024-02-12,Centro,11943.23
2024-02-13,Sur,9648.38
2024-02-14,Sur,16594.52
2024-02-15,Este,14338.73
2024-02-16,Centro,17265.88
2024-02-17,Norte,11234.94
2024-02-18,Centro,11295.35
2024-02-19,Centro,15703.98
2024-02-20,Centro,13386.01
2024-02-21,Este,15629.16
2024-02-22,Este,15197.38
2024-02-23,Norte,14962.32
2024-02-24,Sur,7758.07
2024-02-25,Centro,17265.72
2024-02-26,Norte,12955.98
2024-02-27,Norte,10923.48
2024-02-28,Este,15541.71
2024-02-29,Sur,15321.94
2024-03-01,Sur,12957.55
2024-03-02,Este,7872.28
2024-03-03,Centro,11028.06
2024-03-04,Este,14100.52
2024-03-05,Norte,12775.14
2024-03-06,Este,9370.39
2024-03-07,Sur,14962.48
2024-03-08,Centro,11907.93
2024-03-09,Norte,8361.33
2024-03-10,Norte,15644.55
2024-03-11,Sur,13944.99
2024-03-12,Este,14081.23
2024-03-13,Norte,10373.04
2024-03-14,Este,12396.73
2024-03-15,Norte,14661.53
2024-03-16,Sur,12407.3
2024-03-17,Norte,13292.74
2024-03-18,Norte,13959.6
2024-03-19,Centro,12513.72
2024-03-20,Norte,13200.5
2024-03-21,Sur,20570.2
2024-03-22,Norte,15338.88
2024-03-23,Sur,11593.58
2024-03-24,Este,12478.71
2024-03-25,Sur,11309.33
2024-03-26,Este,9772.7
2024-03-27,Norte,18182.91
2024-03-28,Sur,9303.03
2024-03-29,Centro,10547.95
2024-03-30,Sur,15990.19
2024-03-31,Este,14909.37
2024-04-01,Este,16574.95
2024-04-02,Centro,14914.59
2024-04-03,Sur,14920.78
2024-04-04,Norte,14147.99
2024-04-05,Sur,14857.92
2024-04-06,Sur,17381.74
2024-04-07,Sur,17310.14
2024-04-08,Centro,14016.82
2024-04-09,Centro,11441.33
2024-04-10,Centro,11836.08
2024-04-11,Centro,15943.27
2024-04-12,Centro,12197.23
2024-04-13,Norte,17215.18
2024-04-14,Sur,14205.2
2024-04-15,Sur,13620.05
2024-04-16,Norte,8636.05
2024-04-17,Norte,11019.55
2024-04-18,Norte,14494.62
2024-04-19,Norte,10130.55
2024-04-20,Centro,13769.77
2024-04-21,Sur,10992.84
2024-04-22,Norte,14364.9
2024-04-23,Este,15421.43
2024-04-24,Norte,8252.09
2024-04-25,Sur,9643.44
2024-04-26,Este,16776.85
2024-04-27,Norte,8500.48
2024-04-28,Centro,12657.13
2024-04-29,Centro,12566.44
2024-04-30,Este,13240.38
2024-05-01,Centro,7354.78
2024-05-02,Este,16610.03
2024-05-03,Norte,15013.25
2024-05-04,Sur,15442.18
2024-05-05,Este,14151.61
2024-05-06,Norte,11149.07
2024-05-07,Este,15673.84
2024-05-08,Sur,18603.94
2024-05-09,Centro,11464.88
